,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
181,BE,02,2.0,181.0,52.0,1.0,1.0,0.4424165000091307,761.096984600008
182,BE,02,2.0,182.0,52.0,3.0,2.0,0.41726570000173524,764.1654540000018
183,BE,02,2.0,183.0,52.0,3.0,2.0,0.3660226999782026,769.200337999966
184,BE,02,2.0,184.0,52.0,0.1,2.0,0.8814902000012808,774.1926295000012
185,BE,02,2.0,185.0,52.0,0.5,2.0,0.84730419999687,776.7923024999909
186,BE,02,2.0,186.0,52.0,0.75,1.0,0.41459759999997914,779.7626229000161
187,BE,02,2.0,187.0,48.0,0.75,2.0,0.5628092000260949,782.5549813999678
188,BE,02,2.0,188.0,52.0,5.0,2.0,0.3820549999945797,785.4780575999757
189,BE,02,2.0,189.0,52.0,1.0,1.0,0.785102800000459,792.4888636000105
190,BE,02,2.0,190.0,52.0,0.1,2.0,0.7055893000215292,795.8902596000116
191,BE,02,2.0,191.0,80.0,0.5,2.0,0.3554842000012286,798.3062966999714
192,BE,02,2.0,192.0,48.0,0.75,1.0,0.5691927999723703,800.8047316999873
193,BE,02,2.0,193.0,48.0,3.0,1.0,0.6680621999548748,803.7409530999721
194,BE,02,2.0,194.0,52.0,7.0,1.0,0.4025651999982074,809.0338260999997
195,BE,02,2.0,195.0,52.0,0.75,2.0,1.9798154999734834,818.0460978000192
196,BE,02,2.0,196.0,48.0,0.3,1.0,0.5594023000448942,822.3929821000202
197,BE,02,2.0,197.0,48.0,7.0,1.0,0.6180485999793746,824.879039100022
198,BE,02,2.0,198.0,52.0,0.1,2.0,0.9100728000048548,834.1070616000216
199,BE,02,2.0,199.0,52.0,3.0,2.0,0.48302939999848604,836.737804799981
200,BE,02,2.0,200.0,48.0,0.1,2.0,1.3280497000087053,841.837064100022
201,BE,02,3.0,201.0,48.0,3.0,1.0,0.3971255000215024,848.4013371000183
202,BE,02,3.0,202.0,52.0,0.75,1.0,1.3194225000333972,853.4317783999722
203,BE,02,3.0,203.0,48.0,0.1,2.0,0.8969193000230007,857.1154377000057
204,BE,02,3.0,204.0,52.0,0.3,,,859.7238894000184
205,BE,02,3.0,205.0,52.0,5.0,1.0,0.6170446000178345,863.6505983999814
